Province,City,Area,Company,Status,DeliveryTime,DeliveryCharges
Punjab,Shahdadpur,Tehsil,BLUEX,Returned Recieved,11,180
Punjab,Lahore,Main,BLUEX,Returned Recieved,9,180
Sindh,"Hyderabad, Sindh",Main,BLUEX,Returned Recieved,6,180
Punjab,Gojra,Main,BLUEX,Returned Recieved,9,180
Sindh,Sadiq Abad,Main,BLUEX,Returned Recieved,7,180
Capital,Islamabad,Main,TRAX,Returned Recieved,14,0
Sindh,Karachi,Main,TRAX,Returned Recieved,11,0
KPK,Swabi,Main,TRAX,Returned Recieved,12,0
Punjab,Gujranwala,Main,TRAX,Returned Recieved,7,0
Capital,Islamabad,Main,TRAX,Returned Recieved,10,0
Punjab,Bahawalpur,Main,TRAX,Returned Recieved,6,0
KPK,Nowshera,Main,TRAX,Returned Recieved,11,0
Punjab,Lahore,Main,TRAX,Returned Recieved,11,0
Punjab,Multan,Main,TRAX,Returned Recieved,7,0
Sindh,Karachi,Main,TRAX,Returned Recieved,9,0
Sindh,Tando Allahyar,Main,TRAX,Returned Recieved,8,130
Punjab,Gojra,Main,TRAX,Returned Recieved,8,130
AJK,Muzzaffagarh,Main,TRAX,Returned Recieved,10,130
Balochistan,Quetta,Main,TRAX,Returned Recieved,9,130
